ZipCode,City
96701,AIEA
96703,ANAHOLA
96704,CAPTAIN COOK
96704,OCEAN VIEW
96705,ELEELE
96706,EWA BEACH
96707,KAPOLEI
96708,HAIKU
96709,KAPOLEI
96710,HAKALAU
96712,HALEIWA
96713,HANA
96714,HANALEI
96715,HANAMAULU
96715,LIHUE
96716,HANAPEPE
96717,HAUULA
96718,HAWAII NATIONAL PARK
96719,HAWI
96720,HILO
96721,HILO
96722,PRINCEVILLE
96725,HOLUALOA
96726,HONAUNAU
96727,HONOKAA
96728,HONOMU
96729,HOOLEHUA
96730,KAAAWA
96731,KAHUKU
96732,KAHULUI
96733,KAHULUI
96734,KAILUA
96737,OCEAN VIEW
96738,WAIKOLOA
96739,KEAUHOU
96739,KAILUA KONA
96740,KAILUA KONA
96741,KALAHEO
96742,KALAUPAPA
96743,KAMUELA
96744,KANEOHE
96745,KAILUA KONA
96746,KAPAA
96747,KAUMAKANI
96748,KAUNAKAKAI
96749,KEAAU
96750,KEALAKEKUA
96751,KEALIA
96752,KEKAHA
96753,KIHEI
96753,WAILEA
96754,KILAUEA
96755,KAPAAU
96756,KOLOA
96757,KUALAPUU
96759,KUNIA
96760,KURTISTOWN
96761,LAHAINA
96762,LAIE
96763,LANAI CITY
96764,LAUPAHOEHOE
96765,LAWAI
96766,LIHUE
96767,LAHAINA
96768,MAKAWAO
96769,MAKAWELI
96770,MAUNALOA
96771,MOUNTAIN VIEW
96772,NAALEHU
96773,NINOLE
96774,OOKALA
96776,PAAUILO
96777,PAHALA
96778,PAHOA
96779,PAIA
96780,PAPAALOA
96781,PAPAIKOU
96782,PEARL CITY
96783,PEPEEKEO
96784,PUUNENE
96785,VOLCANO
96786,WAHIAWA
96788,PUKALANI
96789,MILILANI
96790,KULA
96791,WAIALUA
96792,WAIANAE
96793,WAILUKU
96795,WAIMANALO
96796,WAIMEA
96797,WAIPAHU
96801,HONOLULU
96802,HONOLULU
96803,HONOLULU
96804,HONOLULU
96805,HONOLULU
96806,HONOLULU
96807,HONOLULU
96808,HONOLULU
96809,HONOLULU
96810,HONOLULU
96811,HONOLULU
96812,HONOLULU
96813,HONOLULU
96814,HONOLULU
96815,HONOLULU
96816,HONOLULU
96817,HONOLULU
96818,HONOLULU
96819,HONOLULU
96820,HONOLULU
96821,HONOLULU
96822,HONOLULU
96823,HONOLULU
96824,HONOLULU
96825,HONOLULU
96826,HONOLULU
96828,HONOLULU
96830,HONOLULU
96836,HONOLULU
96837,HONOLULU
96838,HONOLULU
96839,HONOLULU
96840,HONOLULU
96841,HONOLULU
96843,HONOLULU
96844,HONOLULU
96846,HONOLULU
96847,HONOLULU
96848,HONOLULU
96849,HONOLULU
96850,HONOLULU
96853,JBPHH
96853,HICKAM AFB
96854,WHEELER ARMY AIRFIELD
96857,SCHOFIELD BARRACKS
96858,FORT SHAFTER
96859,TRIPLER ARMY MEDICAL CENTER
96860,JBPHH
96861,CAMP SMITH
96863,MCBH KANEOHE BAY
96898,WAKE ISLAND
