,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,2017 NAICS Code,2017 NAICS Title
0,149957.5,HONOLULU,HI,96813,238220,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/16/2020,First Hawaiian Bank,HI-01,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
1,149900.0,HONOLULU,HI,96814,541990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17.0,04/08/2020,First Hawaiian Bank,HI-01,541990,"All Other Professional, Scientific, and Technical Services"
2,149800.0,HONOLULU,HI,96816,722511,Corporation,Asian,Male Owned,Non-Veteran,,42.0,04/12/2020,Central Pacific Bank,HI-01,722511,Full-Service Restaurants 
3,149800.0,HONOLULU,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,27.0,05/27/2020,"American Savings Bank, FSB",HI-01,722511,Full-Service Restaurants 
4,149700.0,AIEA,HI,96701,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,10.0,04/06/2020,"American Savings Bank, FSB",HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
5,149657.0,CAPTAIN COOK,HI,96704,721110,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/16/2020,Bank of Hawaii,HI-02,721110,Hotels (except Casino Hotels) and Motels 
6,149615.0,HONOLULU,HI,96816,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-01,621210,Offices of Dentists 
7,149500.0,KAILUA KONA,HI,96740,487110,Corporation,Unanswered,Unanswered,Unanswered,,18.0,04/09/2020,First Hawaiian Bank,HI-02,487110,"Scenic and Sightseeing Transportation, Land"
8,149455.0,MILILANI,HI,96789,238990,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,15.0,05/08/2020,Bank of Hawaii,HI-01,238990,All Other Specialty Trade Contractors
9,149400.0,HONOLULU,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,33.0,04/10/2020,First Hawaiian Bank,HI-01,722511,Full-Service Restaurants 
10,149400.0,HONOKAA,HI,96727,722310,Corporation,Unanswered,Male Owned,Veteran,,41.0,04/10/2020,First Bank,HI-02,722310,Food Service Contractors
11,149392.0,Kilauea,HI,96754,722513,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/11/2020,Central Pacific Bank,HI-02,722513,Limited-Service Restaurants 
