LoanAmount,City,Zip,JobsReported,DateApproved,MonthApproved,Lender,JobTitle,CleanedCity
149957.5,HONOLULU,96813,14,2020-04-16T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",HONOLULU
149900,HONOLULU,96814,17,2020-04-08T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",HONOLULU
149800,HONOLULU,96816,42,2020-04-12T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,FULL-SERVICE RESTAURANTS,HONOLULU
149800,HONOLULU,96815,27,2020-05-27T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",FULL-SERVICE RESTAURANTS,HONOLULU
149700,AIEA,96701,10,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),AIEA
149657,CAPTAIN COOK,96704,1,2020-04-16T00:00:00Z,APRIL,BANK OF HAWAII,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,CAPTAIN COOK
149615,HONOLULU,96816,1,2020-04-11T00:00:00Z,APRIL,BANK OF HAWAII,OFFICES OF DENTISTS,HONOLULU
149500,KAILUA KONA,96740,18,2020-04-09T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"SCENIC AND SIGHTSEEING TRANSPORTATION, LAND",KAILUA KONA
149455,MILILANI,96789,15,2020-05-08T00:00:00Z,MAY,BANK OF HAWAII,ALL OTHER SPECIALTY TRADE CONTRACTORS,MILILANI
149400,HONOLULU,96815,33,2020-04-10T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,HONOLULU
149400,HONOKAA,96727,41,2020-04-10T00:00:00Z,APRIL,FIRST BANK,FOOD SERVICE CONTRACTORS,HONOKAA
149392,KILAUEA,96754,1,2020-05-11T00:00:00Z,MAY,CENTRAL PACIFIC BANK,LIMITED-SERVICE RESTAURANTS,KILAUEA
149320,KAHULUI,96732,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",KAHULUI
149300,PUUNENE,96784,1,2020-05-08T00:00:00Z,MAY,CENTRAL PACIFIC BANK,ALL OTHER SPECIALTY TRADE CONTRACTORS,PUUNENE
149300,LIHUE,96766,11,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,LIHUE
149200,HONOLULU,96814,7,2020-04-07T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",COMPUTER SYSTEMS DESIGN SERVICES,HONOLULU
149100,LAHAINA,96761,76,2020-04-13T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,LAHAINA
