Column,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,JobTitle,CleanedCity
0,149957.5,HONOLULU,HI,96813,238220,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/16/2020,"First Hawaiian Bank",HI-01,"Plumbing, Heating, and Air-Conditioning Contractors",HONOLULU
1,149900.0,HONOLULU,HI,96814,541990,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,17.0,04/08/2020,"First Hawaiian Bank",HI-01,"All Other Professional, Scientific, and Technical Services",HONOLULU
2,149800.0,HONOLULU,HI,96816,722511,Corporation,Asian,"Male Owned",Non-Veteran,,42.0,04/12/2020,"Central Pacific Bank",HI-01,"Full-Service Restaurants",HONOLULU
3,149800.0,HONOLULU,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,27.0,05/27/2020,"American Savings Bank, FSB",HI-01,"Full-Service Restaurants",HONOLULU
4,149700.0,AIEA,HI,96701,621111,"Limited Liability Partnership",Unanswered,Unanswered,Unanswered,,10.0,04/06/2020,"American Savings Bank, FSB",HI-01,"Offices of Physicians (except Mental Health Specialists)",AIEA
5,149657.0,"CAPTAIN COOK",HI,96704,721110,Corporation,Unanswered,"Male Owned",Non-Veteran,,,04/16/2020,"Bank of Hawaii",HI-02,"Hotels (except Casino Hotels) and Motels","CAPTAIN COOK"
6,149615.0,HONOLULU,HI,96816,621210,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/11/2020,"Bank of Hawaii",HI-01,"Offices of Dentists",HONOLULU
7,149500.0,"KAILUA KONA",HI,96740,487110,Corporation,Unanswered,Unanswered,Unanswered,,18.0,04/09/2020,"First Hawaiian Bank",HI-02,"Scenic and Sightseeing Transportation, Land","KAILUA KONA"
8,149455.0,MILILANI,HI,96789,238990,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Unanswered,,15.0,05/08/2020,"Bank of Hawaii",HI-01,"All Other Specialty Trade Contractors",MILILANI
9,149400.0,HONOLULU,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,33.0,04/10/2020,"First Hawaiian Bank",HI-01,"Full-Service Restaurants",HONOLULU
10,149400.0,HONOKAA,HI,96727,722310,Corporation,Unanswered,"Male Owned",Veteran,,41.0,04/10/2020,"First Bank",HI-02,"Food Service Contractors",HONOKAA
11,149392.0,KILAUEA,HI,96754,722513,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/11/2020,"Central Pacific Bank",HI-02,"Limited-Service Restaurants",KILAUEA
12,149320.0,KAHULUI,HI,96732,238220,"Limited  Liability Company(LLC)",White,"Male Owned",Unanswered,,,04/12/2020,"Bank of Hawaii",HI-02,"Plumbing, Heating, and Air-Conditioning Contractors",KAHULUI
13,149300.0,PUUNENE,HI,96784,238990,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/08/2020,"Central Pacific Bank",HI-02,"All Other Specialty Trade Contractors",PUUNENE
14,149300.0,LIHUE,HI,96766,236220,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,11.0,04/06/2020,"Central Pacific Bank",HI-02,"Commercial and Institutional Building Construction",LIHUE
15,149200.0,HONOLULU,HI,96814,541512,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/07/2020,"American Savings Bank, FSB",HI-01,"Computer Systems Design Services",HONOLULU
16,149100.0,LAHAINA,HI,96761,713990,Corporation,Unanswered,"Male Owned",Unanswered,,76.0,04/13/2020,"First Hawaiian Bank",HI-02,"All Other Amusement and Recreation Industries",LAHAINA
17,149100.0,HONOLULU,HI,96813,541611,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,10.0,04/14/2020,"First Hawaiian Bank",HI-01,"Administrative Management and General Management Consulting Services",HONOLULU
18,149000.0,KAPAA,HI,96746,722511,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,26.0,04/09/2020,"First Hawaiian Bank",HI-02,"Full-Service Restaurants",KAPAA
19,148900.0,KAMUELA,HI,96743,722310,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,13.0,04/16/2020,"First Hawaiian Bank",HI-02,"Food Service Contractors",KAMUELA
20,148900.0,HILO,HI,96720,238140,Corporation,Unanswered,"Male Owned",Non-Veteran,,17.0,04/16/2020,"First Hawaiian Bank",HI-02,"Masonry Contractors",HILO
21,148900.0,KAHULUI,HI,96732,531390,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/07/2020,"Central Pacific Bank",HI-02,"Other Activities Related to Real Estate",KAHULUI
22,148900.0,AIEA,HI,96701,238110,Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/09/2020,"Central Pacific Bank",HI-01,"Poured Concrete Foundation and Structure Contractors",AIEA
23,148722.0,HONOLULU,HI,96819,238220,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,80.0,04/28/2020,"First Hawaiian Bank",HI-01,"Plumbing, Heating, and Air-Conditioning Contractors",HONOLULU
24,148700.0,KAPOLEI,HI,96707,621210,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,13.0,04/05/2020,"Central Pacific Bank",HI-02,"Offices of Dentists",KAPOLEI
25,148700.0,HONOLULU,HI,96816,238350,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,20.0,04/09/2020,"Central Pacific Bank",HI-01,"Finish Carpentry Contractors",HONOLULU
26,148600.0,HONOLULU,HI,96813,611610,Corporation,Unanswered,Unanswered,Unanswered,,42.0,04/04/2020,"First Hawaiian Bank",HI-01,"Fine Arts Schools",HONOLULU
27,148600.0,"EWA BEACH",HI,96706,485999,Corporation,Unanswered,Unanswered,Unanswered,,17.0,04/06/2020,"American Savings Bank, FSB",HI-01,"All Other Transit and Ground Passenger Transportation","EWA BEACH"
28,148600.0,"MOUNTAIN VIEW",HI,96771,424690,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/07/2020,"American Savings Bank, FSB",HI-02,"Other Chemical and Allied Products Merchant Wholesalers","MOUNTAIN VIEW"
29,148595.0,AIEA,HI,96701,531311,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,,04/15/2020,"Bank of Hawaii",HI-01,"Residential Property Managers",AIEA
30,148500.0,LAHAINA,HI,96761,561520,Corporation,White,"Male Owned",Non-Veteran,,13.0,04/15/2020,"First Hawaiian Bank",HI-02,"Tour Operators",LAHAINA
31,148500.0,KAILUA,HI,96734,444190,Corporation,White,"Male Owned",Non-Veteran,,10.0,04/04/2020,"American Savings Bank, FSB",HI-02,"Other Building Material Dealers",KAILUA
32,148500.0,KAILUA,HI,96734,238210,Corporation,Unanswered,Unanswered,Unanswered,,16.0,04/14/2020,"First Hawaiian Bank",HI-02,"Electrical Contractors and Other Wiring Installation Contractors",KAILUA
33,148400.0,HONOLULU,HI,96814,446120,Corporation,Unanswered,Unanswered,Unanswered,,23.0,04/15/2020,"First Hawaiian Bank",HI-01,"Cosmetics, Beauty Supplies, and Perfume Stores",HONOLULU
34,148400.0,HONOLULU,HI,96814,541211,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/07/2020,"First Hawaiian Bank",HI-01,"Offices of Certified Public Accountants",HONOLULU
35,148300.0,"PEARL CITY",HI,96782,325199,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,20.0,04/04/2020,"Central Pacific Bank",HI-01,"All Other Basic Organic Chemical Manufacturing","PEARL CITY"
36,148292.0,LAHAINA,HI,96761,722511,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,20.0,05/07/2020,"Bank of Hawaii",HI-02,"Full-Service Restaurants",LAHAINA
37,148200.0,KAPAA,HI,96746,561612,Corporation,Asian,"Male Owned",Non-Veteran,,23.0,04/15/2020,"Central Pacific Bank",HI-02,"Security Guards and Patrol Services",KAPAA
38,148200.0,KAHULUI,HI,96732,441320,"Subchapter S Corporation",Unanswered,"Male Owned",Veteran,,15.0,04/30/2020,"First Hawaiian Bank",HI-02,"Tire Dealers",KAHULUI
39,148100.0,HONOLULU,HI,96814,722410,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/05/2020,"Central Pacific Bank",HI-01,"Drinking Places (Alcoholic Beverages)",HONOLULU
40,148000.0,KAHULUI,HI,96732,722513,"Limited  Liability Company(LLC)",Unanswered,"Female Owned",Non-Veteran,,28.0,04/03/2020,"American Savings Bank, FSB",HI-02,"Limited-Service Restaurants",KAHULUI
41,148000.0,HONOLULU,HI,96814,541310,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/09/2020,"Central Pacific Bank",HI-01,"Architectural Services",HONOLULU
42,147972.5,HONOLULU,HI,96826,531210,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,13.0,04/28/2020,"First Hawaiian Bank",HI-01,"Offices of Real Estate Agents and Brokers",HONOLULU
43,147900.0,HONOLULU,HI,96826,541310,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,9.0,04/05/2020,"Central Pacific Bank",HI-01,"Architectural Services",HONOLULU
44,147800.0,HONOLULU,HI,96819,445210,Corporation,Unanswered,Unanswered,Unanswered,,17.0,04/06/2020,"Central Pacific Bank",HI-01,"Meat Markets",HONOLULU
45,147800.0,WAILUKU,HI,96793,541110,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,8.0,04/27/2020,"First Hawaiian Bank",HI-02,"Offices of Lawyers",WAILUKU
46,147700.0,HILO,HI,96720,621111,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,,04/12/2020,"Bank of Hawaii",HI-02,"Offices of Physicians (except Mental Health Specialists)",HILO
47,147700.0,"KAILUA KONA",HI,96740,561990,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Non-Veteran,,13.0,04/07/2020,"American Savings Bank, FSB",HI-02,"All Other Support Services","KAILUA KONA"
48,147500.0,LIHUE,HI,96766,423990,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/13/2020,"Bank of Hawaii",HI-02,"Other Miscellaneous Durable Goods Merchant Wholesalers",LIHUE
49,147487.0,HONOLULU,HI,96813,213111,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/27/2020,"First Hawaiian Bank",HI-01,"Drilling Oil and Gas Wells",HONOLULU
50,147400.0,HONOLULU,HI,96826,238990,Corporation,Unanswered,"Male Owned",Non-Veteran,,0.0,04/30/2020,"Central Pacific Bank",HI-01,"All Other Specialty Trade Contractors",HONOLULU
51,147312.5,LAHAINA,HI,96761,453920,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,12.0,04/30/2020,"First Hawaiian Bank",HI-02,"Art Dealers",LAHAINA
52,147300.0,HONOLULU,HI,96813,811121,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/06/2020,"First Hawaiian Bank",HI-01,"Automotive Body, Paint, and Interior Repair and Maintenance",HONOLULU
53,147294.0,HONOLULU,HI,96817,561320,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,13.0,07/24/2020,"Kabbage, Inc.",HI-01,"Temporary Help Services",HONOLULU
54,147117.5,LAHAINA,HI,96761,713990,"Subchapter S Corporation",Unanswered,"Male Owned",Unanswered,,12.0,04/27/2020,"First Hawaiian Bank",HI-02,"All Other Amusement and Recreation Industries",LAHAINA
55,147030.0,AIEA,HI,96701,326111,Corporation,Unanswered,"Male Owned",Non-Veteran,,,04/11/2020,"Bank of Hawaii",HI-01,"Plastics Bag and Pouch Manufacturing",AIEA
56,147000.0,HONOLULU,HI,96817,524292,"Subchapter S Corporation",Unanswered,"Male Owned",Unanswered,,20.0,04/28/2020,"TransPecos Banks, SSB.",HI-01,"Third Party Administration of Insurance and Pension Funds",HONOLULU
57,146997.5,PUUNENE,HI,96784,238120,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,7.0,05/01/2020,"First Hawaiian Bank",HI-02,"Structural Steel and Precast Concrete Contractors",PUUNENE
58,146960.0,HONOLULU,HI,96813,541110,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,,04/28/2020,"Bank of Hawaii",HI-01,"Offices of Lawyers",HONOLULU
59,146800.0,HILO,HI,96720,624229,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,13.0,04/14/2020,"First Hawaiian Bank",HI-02,"Other Community Housing Services",HILO
60,146675.0,LIHUE,HI,96766,624190,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,19.0,04/29/2020,"First Hawaiian Bank",HI-02,"Other Individual and Family Services",LIHUE
61,146641.0,KAPAA,HI,96746,522390,Corporation,Unanswered,Unanswered,Unanswered,,25.0,05/03/2020,"Cross River Bank",HI-02,"Other Activities Related to Credit Intermediation",KAPAA
62,146600.0,HILO,HI,96720,722511,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,"Central Pacific Bank",HI-02,"Full-Service Restaurants",HILO
63,146600.0,HONOLULU,HI,96826,561510,Corporation,Unanswered,Unanswered,Unanswered,,15.0,04/14/2020,"First Hawaiian Bank",HI-01,"Travel Agencies",HONOLULU
64,146500.0,"KAILUA KONA",HI,96740,811121,Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,"Central Pacific Bank",HI-02,"Automotive Body, Paint, and Interior Repair and Maintenance","KAILUA KONA"
65,146300.0,HONOLULU,HI,96819,541211,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Unanswered,,11.0,04/03/2020,"American Savings Bank, FSB",HI-01,"Offices of Certified Public Accountants",HONOLULU
66,146300.0,HONOLULU,HI,96813,531312,Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/14/2020,"First Hawaiian Bank",HI-01,"Nonresidential Property Managers",HONOLULU
67,146255.0,HONOLULU,HI,96817,561990,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,30.0,04/30/2020,"First Hawaiian Bank",HI-01,"All Other Support Services",HONOLULU
68,146200.0,HONOLULU,HI,96819,238220,"Limited  Liability Company(LLC)",Asian,"Male Owned",Veteran,,9.0,04/04/2020,"Hawaii National Bank",HI-01,"Plumbing, Heating, and Air-Conditioning Contractors",HONOLULU
69,146200.0,KAHULUI,HI,96732,812199,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Non-Veteran,,32.0,04/09/2020,"American Savings Bank, FSB",HI-02,"Other Personal Care Services",KAHULUI
70,146100.0,HONOLULU,HI,96815,531312,Corporation,Unanswered,Unanswered,Unanswered,,21.0,04/10/2020,"First Hawaiian Bank",HI-01,"Nonresidential Property Managers",HONOLULU
71,146100.0,WAIPAHU,HI,96797,621111,"Limited  Liability Company(LLC)",Hispanic,"Male Owned",Unanswered,,10.0,04/04/2020,"American Savings Bank, FSB",HI-01,"Offices of Physicians (except Mental Health Specialists)",WAIPAHU
72,146077.5,HONOLULU,HI,96815,722511,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,47.0,04/15/2020,"First Hawaiian Bank",HI-01,"Full-Service Restaurants",HONOLULU
73,146000.0,WAIPAHU,HI,96797,423120,Corporation,Unanswered,Unanswered,Unanswered,,20.0,04/10/2020,"First Hawaiian Bank",HI-01,"Motor Vehicle Supplies and New Parts Merchant Wholesalers",WAIPAHU
74,146000.0,"KAILUA KONA",HI,96745,561320,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,8.0,04/05/2020,"Bank of Hawaii",HI-02,"Temporary Help Services","KAILUA KONA"
75,146000.0,KAILUA,HI,96734,811219,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/28/2020,"Central Pacific Bank",HI-02,"Other Electronic and Precision Equipment Repair and Maintenance",KAILUA
76,146000.0,HONOLULU,HI,96813,621111,Corporation,Unanswered,Unanswered,Unanswered,,10.0,04/07/2020,"American Savings Bank, FSB",HI-01,"Offices of Physicians (except Mental Health Specialists)",HONOLULU
77,145905.0,HONOLULU,HI,96819,444190,Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,"Bank of Hawaii",HI-01,"Other Building Material Dealers",HONOLULU
78,145900.0,HONOLULU,HI,96817,541310,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/08/2020,"Central Pacific Bank",HI-01,"Architectural Services",HONOLULU
79,145833.35,LIHUE,HI,96766,523999,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/07/2020,"Kaua'i Government Employees' FCU",HI-02,"Miscellaneous Financial Investment Activities",LIHUE
80,145830.0,KAUNAKAKAI,HI,96748,423440,Corporation,Unanswered,Unanswered,Unanswered,,,06/22/2020,"Bank of Hawaii",HI-02,"Other Commercial Equipment Merchant Wholesalers",KAUNAKAKAI
81,145800.0,KULA,HI,96790,111998,Corporation,"Black or African American","Female Owned",Non-Veteran,,12.0,04/10/2020,"American Savings Bank, FSB",HI-02,"All Other Miscellaneous Crop Farming",KULA
82,145800.0,HONOLULU,HI,96814,517311,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,10.0,04/09/2020,"First Hawaiian Bank",HI-01,"Wired Telecommunications Carriers",HONOLULU
83,145790.0,HONOLULU,HI,96823,238110,"Subchapter S Corporation",Unanswered,"Male Owned",Unanswered,,17.0,04/27/2020,"First Hawaiian Bank",HI-01,"Poured Concrete Foundation and Structure Contractors",HONOLULU
84,145700.0,HONOLULU,HI,96815,621210,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,12.0,04/12/2020,"Central Pacific Bank",HI-01,"Offices of Dentists",HONOLULU
85,145700.0,WAIPAHU,HI,96797,238210,"Limited  Liability Company(LLC)",Asian,"Male Owned",Non-Veteran,,14.0,05/08/2020,"Hawaii National Bank",HI-01,"Electrical Contractors and Other Wiring Installation Contractors",WAIPAHU
86,145635.0,HONOLULU,HI,96819,541690,"Limited  Liability Company(LLC)",Asian,Unanswered,Unanswered,,,04/14/2020,"Bank of Hawaii",HI-01,"Other Scientific and Technical Consulting Services",HONOLULU
87,145595.0,KOLOA,HI,96756,487210,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,25.0,04/30/2020,"First Hawaiian Bank",HI-02,"Scenic and Sightseeing Transportation, Water",KOLOA
88,145500.0,HILO,HI,96720,541310,"Limited  Liability Company(LLC)",White,"Male Owned",Unanswered,,8.0,04/06/2020,"First Hawaiian Bank",HI-02,"Architectural Services",HILO
89,145500.0,HONOLULU,HI,96816,621210,Corporation,Asian,"Male Owned",Non-Veteran,,13.0,04/08/2020,"American Savings Bank, FSB",HI-01,"Offices of Dentists",HONOLULU
90,145300.0,HONOLULU,HI,96813,541910,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,"Bank of Hawaii",HI-01,"Marketing Research and Public Opinion Polling",HONOLULU
91,145300.0,HONOLULU,HI,96817,236118,Corporation,Asian,"Male Owned",Unanswered,,14.0,04/05/2020,"American Savings Bank, FSB",HI-01,"Residential Remodelers",HONOLULU
92,145200.0,KAHULUI,HI,96732,532299,Corporation,White,Unanswered,Unanswered,,18.0,04/04/2020,"American Savings Bank, FSB",HI-02,,KAHULUI
93,145190.0,HONOLULU,HI,96817,424420,Corporation,Unanswered,Unanswered,Unanswered,,16.0,04/28/2020,"First Hawaiian Bank",HI-01,"Packaged Frozen Food Merchant Wholesalers",HONOLULU
94,145012.5,HONOLULU,HI,96814,561520,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/14/2020,"First Hawaiian Bank",HI-01,"Tour Operators",HONOLULU
95,145010.0,HILO,HI,96720,451110,Corporation,Unanswered,"Male Owned",Non-Veteran,,,04/15/2020,"Bank of Hawaii",HI-02,"Sporting Goods Stores",HILO
96,145000.0,KEALAKEKUA,HI,96750,424490,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,10.0,04/05/2020,"Central Pacific Bank",HI-02,"Other Grocery and Related Products Merchant Wholesalers",KEALAKEKUA
97,145000.0,HONOLULU,HI,96819,312112,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,,04/14/2020,"Central Pacific Bank",HI-01,"Bottled Water Manufacturing",HONOLULU
98,145000.0,"KAILUA KONA",HI,96745,236115,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,,04/15/2020,"Central Pacific Bank",HI-02,"New Single-Family Housing Construction (except For-Sale Builders)","KAILUA KONA"
99,144990.0,KAMUELA,HI,96743,484122,"Sole Proprietorship",Unanswered,"Male Owned",Non-Veteran,,17.0,04/28/2020,"First Hawaiian Bank",HI-02,"General Freight Trucking, Long-Distance, Less Than Truckload",KAMUELA
