"ZipCode","Type","City","State","IsPrimaryCity"
"00501","Unique","HOLTSVILLE","NY","1"
"00544","Unique","HOLTSVILLE","NY","1"
"00601","Standard","ADJUNTAS","PR","1"
"00602","Standard","AGUADA","PR","1"
"00603","Standard","AGUADILLA","PR","1"
"00604","POBox","AGUADILLA","PR","1"
"00604","POBox","RAMEY","PR","0"
"00605","POBox","AGUADILLA","PR","1"
"00606","Standard","MARICAO","PR","1"
"00610","Standard","ANASCO","PR","1"
"00611","POBox","ANGELES","PR","1"
"00612","Standard","ARECIBO","PR","1"
"00613","POBox","ARECIBO","PR","1"
"00614","POBox","ARECIBO","PR","1"
"00616","Standard","BAJADERO","PR","1"
"00617","Standard","BARCELONETA","PR","1"
"00622","Standard","BOQUERON","PR","1"
"00623","Standard","CABO ROJO","PR","1"
"00624","Standard","PENUELAS","PR","1"
"00627","Standard","CAMUY","PR","1"
"00631","POBox","CASTANER","PR","1"
"00631","POBox","ADJUNTAS","PR","0"
"00636","POBox","ROSARIO","PR","1"
"00637","Standard","SABANA GRANDE","PR","1"
"00638","Standard","CIALES","PR","1"
"00641","Standard","UTUADO","PR","1"
"00646","Standard","DORADO","PR","1"
"00647","Standard","ENSENADA","PR","1"
"00650","Standard","FLORIDA","PR","1"
"00652","Standard","GARROCHALES","PR","1"
"00653","Standard","GUANICA","PR","1"
"00656","Standard","GUAYANILLA","PR","1"
"00659","Standard","HATILLO","PR","1"
"00660","Standard","HORMIGUEROS","PR","1"
"00662","Standard","ISABELA","PR","1"
"00664","Standard","JAYUYA","PR","1"
"00667","Standard","LAJAS","PR","1"
"00669","Standard","LARES","PR","1"
"00670","Standard","LAS MARIAS","PR","1"
"00674","Standard","MANATI","PR","1"
"00676","Standard","MOCA","PR","1"
"00677","Standard","RINCON","PR","1"
"00678","Standard","QUEBRADILLAS","PR","1"
"00680","Standard","MAYAGUEZ","PR","1"
"00681","POBox","MAYAGUEZ","PR","1"
"00682","Standard","MAYAGUEZ","PR","1"
"00683","Standard","SAN GERMAN","PR","1"
"00685","Standard","SAN SEBASTIAN","PR","1"
"00687","Standard","MOROVIS","PR","1"
"00688","Standard","SABANA HOYOS","PR","1"
"00690","Standard","SAN ANTONIO","PR","1"
"00692","Standard","VEGA ALTA","PR","1"
"00693","Standard","VEGA BAJA","PR","1"
"00694","POBox","VEGA BAJA","PR","1"
"00698","Standard","YAUCO","PR","1"
"00703","Standard","AGUAS BUENAS","PR","1"
"00704","Standard","AGUIRRE","PR","1"
"00705","Standard","AIBONITO","PR","1"
"00707","Standard","MAUNABO","PR","1"
"00714","Standard","ARROYO","PR","1"
"00715","Standard","MERCEDITA","PR","1"
"00716","Standard","PONCE","PR","1"
"00717","Standard","PONCE","PR","1"
"00718","Standard","NAGUABO","PR","1"
"00719","Standard","NARANJITO","PR","1"
"00720","Standard","OROCOVIS","PR","1"
"00721","POBox","PALMER","PR","1"
"00721","POBox","RIO GRANDE","PR","0"
"00723","Standard","PATILLAS","PR","1"
"00725","Standard","CAGUAS","PR","1"
"00726","POBox","CAGUAS","PR","1"
"00727","Standard","CAGUAS","PR","1"
"00728","Standard","PONCE","PR","1"
"00729","Standard","CANOVANAS","PR","1"
"00730","Standard","PONCE","PR","1"
"00731","Standard","PONCE","PR","1"
"00732","POBox","PONCE","PR","1"
"00733","POBox","PONCE","PR","1"
"00734","POBox","PONCE","PR","1"
"00735","Standard","CEIBA","PR","1"
"00736","Standard","CAYEY","PR","1"
"00737","POBox","CAYEY","PR","1"
"00738","Standard","FAJARDO","PR","1"
"00739","Standard","CIDRA","PR","1"
"00740","Standard","PUERTO REAL","PR","1"
"00741","Standard","PUNTA SANTIAGO","PR","1"
"00742","POBox","ROOSEVELT ROADS","PR","1"
"00742","POBox","CEIBA","PR","0"
"00742","POBox","ROOSEVELT RDS","PR","0"
"00744","POBox","RIO BLANCO","PR","1"
"00745","Standard","RIO GRANDE","PR","1"
"00751","Standard","SALINAS","PR","1"
"00754","Standard","SAN LORENZO","PR","1"
"00757","Standard","SANTA ISABEL","PR","1"
"00765","Standard","VIEQUES","PR","1"
"00766","Standard","VILLALBA","PR","1"
"00767","Standard","YABUCOA","PR","1"
"00769","Standard","COAMO","PR","1"
"00771","Standard","LAS PIEDRAS","PR","1"
"00772","Standard","LOIZA","PR","1"
"00773","Standard","LUQUILLO","PR","1"
"00775","POBox","CULEBRA","PR","1"
"00777","Standard","JUNCOS","PR","1"
"00778","Standard","GURABO","PR","1"
"00780","Standard","COTO LAUREL","PR","1"
"00782","Standard","COMERIO","PR","1"
"00783","Standard","COROZAL","PR","1"
"00784","Standard","GUAYAMA","PR","1"
"00785","POBox","GUAYAMA","PR","1"
"00786","POBox","LA PLATA","PR","1"
"00791","Standard","HUMACAO","PR","1"
"00792","POBox","HUMACAO","PR","1"
"00794","Standard","BARRANQUITAS","PR","1"
"00795","Standard","JUANA DIAZ","PR","1"
"00801","POBox","ST THOMAS","VI","1"
"00801","POBox","CHARLOTTE AMA","VI","0"
"00801","POBox","CHARLOTTE AMALIE","VI","0"
"00802","Standard","ST THOMAS","VI","1"
"00802","Standard","CHARLOTTE AMA","VI","0"
"00802","Standard","CHARLOTTE AMALIE","VI","0"
"00803","POBox","ST THOMAS","VI","1"
"00803","POBox","CHARLOTTE AMA","VI","0"
"00803","POBox","CHARLOTTE AMALIE","VI","0"
"00804","POBox","ST THOMAS","VI","1"
"00804","POBox","CHARLOTTE AMA","VI","0"
"00804","POBox","CHARLOTTE AMALIE","VI","0"
"00805","POBox","ST THOMAS","VI","1"
"00820","Standard","CHRISTIANSTED","VI","1"
"00820","Standard","ST CROIX","VI","0"
"00821","POBox","CHRISTIANSTED","VI","1"
"00822","POBox","CHRISTIANSTED","VI","1"
"00823","POBox","CHRISTIANSTED","VI","1"
"00823","POBox","ST CROIX","VI","0"
"00824","POBox","CHRISTIANSTED","VI","1"
"00824","POBox","ST CROIX","VI","0"
"00830","Standard","ST JOHN","VI","1"
"00830","Standard","CRUZ BAY","VI","0"
"00831","POBox","ST JOHN","VI","1"
"00831","POBox","CRUZ BAY","VI","0"
"00840","Standard","FREDERIKSTED","VI","1"
"00841","POBox","FREDERIKSTED","VI","1"
"00850","Standard","KINGSHILL","VI","1"
"00851","POBox","KINGSHILL","VI","1"
"00901","Standard","SAN JUAN","PR","1"
"00901","Standard","OLD SAN JUAN","PR","0"
"00901","Standard","VIEJO SAN JUAN","PR","0"
"00901","Standard","VIEJO SN JUAN","PR","0"
"00902","POBox","SAN JUAN","PR","1"
"00902","POBox","OLD SAN JUAN","PR","0"
"00902","POBox","VIEJO SAN JUAN","PR","0"
"00902","POBox","VIEJO SN JUAN","PR","0"
"00906","POBox","SAN JUAN","PR","1"
"00906","POBox","PTA DE TIERRA","PR","0"
"00906","POBox","PUERTA DE TIERRA","PR","0"
"00907","Standard","SAN JUAN","PR","1"
"00908","POBox","SAN JUAN","PR","1"
"00909","Standard","SAN JUAN","PR","1"
"00910","POBox","SAN JUAN","PR","1"
"00910","POBox","FDEZ JUNCOS","PR","0"
"00910","POBox","FERNANDEZ JUNCOS","PR","0"
"00911","Standard","SAN JUAN","PR","1"
"00912","Standard","SAN JUAN","PR","1"
"00912","Standard","SANTURCE","PR","0"
"00913","Standard","SAN JUAN","PR","1"
"00913","Standard","ISLA VERDE","PR","0"
"00913","Standard","SANTURCE","PR","0"
"00914","POBox","SAN JUAN","PR","1"
"00915","Standard","SAN JUAN","PR","1"
"00916","POBox","SAN JUAN","PR","1"
"00916","POBox","BARRIO OBRERO","PR","0"
"00916","POBox","SANTURCE","PR","0"
"00917","Standard","SAN JUAN","PR","1"
"00918","Standard","SAN JUAN","PR","1"
