City,AVG(LoanAmount)
"SCHOFIELD BARRACKS",83332.0
PUUNENE,58944.4714285714
KUNIA,53116.875
NINOLE,48846.6666666667
KAUNAKAKAI,44285.6658
LAUPAHOEHOE,43880.9583333333
KAHULUI,42544.039037037
MAUNALOA,40550.0
WAIPAHU,39328.0956375839
KUALAPUU,39158.628
KAHUKU,37785.5742105263
KAPOLEI,37445.3513815789
HILO,36675.775323741
KILAUEA,36154.257080292
LIHUE,35946.2756521739
KAMUELA,35371.3638170347
AIEA,35310.7966717325
ELEELE,35151.8735714286
HANAPEPE,34959.4787878788
NAALEHU,34527.5264285714
HONOKAA,34521.6277083333
"MOUNTAIN VIEW",34411.7854166667
WAILUKU,34282.0054095827
HANA,34218.3343478261
LAHAINA,34113.8247311828
HAWI,33589.6853125
"OCEAN VIEW",33437.5138709677
HONOMU,33371.377
"CAPTAIN COOK",33349.7423529412
KAPAAU,33169.9110714286
"PEARL CITY",32891.2537037037
HONOLULU,32864.0439842932
KEALAKEKUA,32798.1098901099
WAHIAWA,32783.0721511628
VOLCANO,32261.6
HOLUALOA,32197.4538596491
HANALEI,32182.9086419753
"KAILUA KONA",31870.1590888383
KANEOHE,31191.8803396226
KAPAA,31025.5144219653
LAIE,30666.5407142857
PUKALANI,30344.7316666667
KAILUA,30034.6908098159
MILILANI,30025.5950429799
LAWAI,29984.2692592593
HAUULA,29852.7096774194
WAIMANALO,29623.0501369863
KEAAU,29328.5729032258
HALEIWA,29150.3429381443
KOLOA,29111.51175
KEKAHA,29080.7733333333
KALAHEO,28445.7761538462
HAKALAU,27943.6075
WAIANAE,27631.5441860465
WAIKOLOA,27436.052265625
KIHEI,26446.4261403509
WAILEA,26446.4261403509
KEAUHOU,26372.125
KULA,26191.0958928571
PRINCEVILLE,25984.8396153846
PAIA,25976.2896721311
"EWA BEACH",25333.9101226994
WAIALUA,24756.4421111111
"LANAI CITY",24745.3082352941
MAKAWAO,24421.4708474576
PAPAALOA,24216.3333333333
PEPEEKEO,23732.38
HOOLEHUA,23580.7857142857
PAAUILO,23211.1923076923
WAIMEA,22539.1960606061
HAIKU,22143.9729787234
KURTISTOWN,22031.9423076923
PAHALA,20863.845
ANAHOLA,18034.7821428571
HONAUNAU,14435.2857142857
JBPHH,14328.8575
PAHOA,14316.5732
KAAAWA,13632.3333333333
,12500.0
PAPAIKOU,12213.3636363636
KAUMAKANI,11245.5
KEALIA,10832.5
"HICKAM AFB",7531.715
"JB PEARL HARBOR HICKAM",7531.715
"JOINT BASE PEARL HBR HICKAM",7531.715
OOKALA,4857.0
