City,JobTitle,COUNT(LoanAmount)
HONOLULU,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",535
HONOLULU,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",408
HONOLULU,"FULL-SERVICE RESTAURANTS",367
HONOLULU,"OFFICES OF LAWYERS",349
HONOLULU,"LIMITED-SERVICE RESTAURANTS",289
HONOLULU,"OFFICES OF DENTISTS",283
HONOLULU,"BEAUTY SALONS",243
HONOLULU,"ALL OTHER PERSONAL SERVICES",159
HONOLULU,"INSURANCE AGENCIES AND BROKERAGES",157
HONOLULU,"TAXI SERVICE",144
HONOLULU,"OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS",142
HONOLULU,,122
HONOLULU,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",121
HONOLULU,"RELIGIOUS ORGANIZATIONS",112
HONOLULU,"OTHER ACCOUNTING SERVICES",111
HONOLULU,"OTHER ACTIVITIES RELATED TO REAL ESTATE",103
HONOLULU,"INVESTMENT ADVICE",97
HONOLULU,"ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES",95
HONOLULU,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",90
HONOLULU,"RESIDENTIAL REMODELERS",88
HONOLULU,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",84
HONOLULU,"GENERAL AUTOMOTIVE REPAIR",83
HONOLULU,"MARKETING CONSULTING SERVICES",76
HONOLULU,"OTHER PERSONAL CARE SERVICES",75
HONOLULU,"TOUR OPERATORS",72
HONOLULU,"GIFT, NOVELTY, AND SOUVENIR STORES",70
HONOLULU,"RESIDENTIAL PROPERTY MANAGERS",68
HONOLULU,"NAIL SALONS",67
HONOLULU,"PHOTOGRAPHY STUDIOS, PORTRAIT",66
HONOLULU,"SNACK AND NONALCOHOLIC BEVERAGE BARS",65
HONOLULU,"TRAVEL AGENCIES",65
KIHEI,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",65
WAILEA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",65
HONOLULU,"ARCHITECTURAL SERVICES",64
HONOLULU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",64
HONOLULU,"JEWELRY STORES",63
HONOLULU,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",63
HONOLULU,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",63
HONOLULU,"DRINKING PLACES (ALCOHOLIC BEVERAGES)",60
HONOLULU,"JANITORIAL SERVICES",59
KAILUA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",57
HONOLULU,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",56
HONOLULU,"OTHER MANAGEMENT CONSULTING SERVICES",55
HONOLULU,"ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)",52
HONOLULU,"OFFICES OF OPTOMETRISTS",52
HONOLULU,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",52
HONOLULU,"CLOTHING ACCESSORIES STORES",51
AIEA,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",50
HONOLULU,"LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)",49
HONOLULU,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",45
HONOLULU,"ENGINEERING SERVICES",44
LAHAINA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",44
HONOLULU,"LIMOUSINE SERVICE",43
KAILUA,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",43
HILO,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",42
HONOLULU,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",42
HONOLULU,"FITNESS AND RECREATIONAL SPORTS CENTERS",41
HONOLULU,"GRAPHIC DESIGN SERVICES",41
HONOLULU,"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",41
HONOLULU,"SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES",41
HILO,"FULL-SERVICE RESTAURANTS",40
HONOLULU,"OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS)",40
HONOLULU,"WOMEN'S CLOTHING STORES",40
HONOLULU,"LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS",39
HONOLULU,"OFFICES OF CHIROPRACTORS",39
HONOLULU,"SPORTS AND RECREATION INSTRUCTION",39
"KAILUA KONA","FULL-SERVICE RESTAURANTS",39
"KAILUA KONA","OFFICES OF REAL ESTATE AGENTS AND BROKERS",39
HONOLULU,"CONVENIENCE STORES",36
HONOLULU,"MOTION PICTURE AND VIDEO PRODUCTION",36
AIEA,"FULL-SERVICE RESTAURANTS",35
HONOLULU,"HOME HEALTH CARE SERVICES",34
HONOLULU,"TAX PREPARATION SERVICES",34
HONOLULU,"EDUCATIONAL SUPPORT SERVICES",33
HONOLULU,"SPORTING GOODS STORES",33
HILO,"LIMITED-SERVICE RESTAURANTS",32
HONOLULU,"ALL OTHER SPECIALTY TRADE CONTRACTORS",32
KIHEI,"FULL-SERVICE RESTAURANTS",32
WAILEA,"FULL-SERVICE RESTAURANTS",32
HONOLULU,"ADVERTISING AGENCIES",31
HONOLULU,"CUSTOM COMPUTER PROGRAMMING SERVICES",31
HONOLULU,FLORISTS,31
HILO,"OFFICES OF DENTISTS",30
HONOLULU,CATERERS,30
HONOLULU,"COMMERCIAL PHOTOGRAPHY",30
HONOLULU,"OTHER DIRECT SELLING ESTABLISHMENTS",30
HONOLULU,"OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS",30
HONOLULU,"PAINTING AND WALL COVERING CONTRACTORS",30
KAILUA,"FULL-SERVICE RESTAURANTS",30
WAILUKU,"OFFICES OF LAWYERS",30
HONOLULU,"COMPUTER SYSTEMS DESIGN SERVICES",29
KAPOLEI,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",28
AIEA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",27
HONOLULU,"FAMILY CLOTHING STORES",27
HONOLULU,"LANDSCAPING SERVICES",27
HONOLULU,"NONRESIDENTIAL PROPERTY MANAGERS",27
HILO,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",26
HONOLULU,"BEER, WINE, AND LIQUOR STORES",26
HONOLULU,"OTHER CLOTHING STORES",26
HONOLULU,"ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION",25
HONOLULU,"CIVIC AND SOCIAL ORGANIZATIONS",25
HONOLULU,"OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS",25
KANEOHE,"LIMITED-SERVICE RESTAURANTS",25
HONOLULU,"FINE ARTS SCHOOLS",24
HONOLULU,"LEGAL COUNSEL AND PROSECUTION",24
HONOLULU,"OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS",24
HONOLULU,"USED CAR DEALERS",24
KAPOLEI,"FULL-SERVICE RESTAURANTS",24
LAHAINA,"FULL-SERVICE RESTAURANTS",24
WAIPAHU,"OFFICES OF DENTISTS",24
AIEA,"LIMITED-SERVICE RESTAURANTS",23
AIEA,"OFFICES OF DENTISTS",23
"EWA BEACH","OFFICES OF REAL ESTATE AGENTS AND BROKERS",23
HILO,"GENERAL AUTOMOTIVE REPAIR",23
HONOLULU,"ENVIRONMENTAL CONSULTING SERVICES",23
HONOLULU,"WHOLESALE TRADE AGENTS AND BROKERS",23
KAILUA,"BEAUTY SALONS",23
WAIPAHU,"FULL-SERVICE RESTAURANTS",23
WAIPAHU,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",23
HONOLULU,"ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION",22
HONOLULU,"BARBER SHOPS",22
HONOLULU,"CHILD DAY CARE SERVICES",22
HONOLULU,"FLOORING CONTRACTORS",22
HONOLULU,"OFFICE ADMINISTRATIVE SERVICES",22
HONOLULU,"OTHER COMPUTER RELATED SERVICES",22
KANEOHE,"OFFICES OF DENTISTS",22
WAIPAHU,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",22
HILO,"BEAUTY SALONS",21
HONOLULU,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",21
HONOLULU,"ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES",21
HONOLULU,"FOOD SERVICE CONTRACTORS",21
KIHEI,"ALL OTHER PERSONAL SERVICES",21
MILILANI,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",21
WAILEA,"ALL OTHER PERSONAL SERVICES",21
HONOLULU,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",20
HONOLULU,"OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING",20
