City,JobTitle,AVG(LoanAmount)
"CAPTAIN COOK","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS",149657.0
HONOKAA,"FOOD SERVICE CONTRACTORS",149400.0
PUUNENE,"ALL OTHER SPECIALTY TRADE CONTRACTORS",149300.0
AIEA,"POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS",148900.0
KAMUELA,"FOOD SERVICE CONTRACTORS",148900.0
"MOUNTAIN VIEW","OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS",148600.0
KAILUA,"OTHER BUILDING MATERIAL DEALERS",148500.0
"PEARL CITY","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING",148300.0
KAPAA,"SECURITY GUARDS AND PATROL SERVICES",148200.0
LIHUE,"OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS",147500.0
HONOLULU,"DRILLING OIL AND GAS WELLS",147487.0
AIEA,"PLASTICS BAG AND POUCH MANUFACTURING",147030.0
PUUNENE,"STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS",146997.5
HILO,"OTHER COMMUNITY HOUSING SERVICES",146800.0
KAPAA,"OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION",146641.0
KAILUA,"OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE",146000.0
"KAILUA KONA","TEMPORARY HELP SERVICES",146000.0
LIHUE,"MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES",145833.35
KAUNAKAKAI,"OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS",145830.0
HONOLULU,"WIRED TELECOMMUNICATIONS CARRIERS",145800.0
HILO,"ARCHITECTURAL SERVICES",145500.0
HONOLULU,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",144872.0
"KAILUA KONA","MOTORCYCLE, ATV, AND ALL OTHER MOTOR VEHICLE DEALERS",144705.0
KAILUA,"ELECTRONICS STORES",144300.0
MILILANI,"MASONRY CONTRACTORS",144300.0
KANEOHE,"PERISHABLE PREPARED FOOD MANUFACTURING",144285.0
HONOLULU,"CURTAIN AND LINEN MILLS",143600.0
"WAIKOLOA VILLAGE","PAINTING AND WALL COVERING CONTRACTORS",143400.0
KAHULUI,"ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING",143397.0
HONOLULU,"HORSES AND OTHER EQUINE PRODUCTION",142867.5
KAPOLEI,"SITE PREPARATION CONTRACTORS",142660.0
KAUNAKAKAI,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",142600.0
