Lender,MonthApproved,AvgPerJobAmount
"T BANK, NATIONAL ASSOCIATION",MAY,138521.0
"BANK OF HAWAII",JULY,138224.0
"WASHINGTON TRUST BANK",APRIL,113500.0
"LIVE OAK BANKING COMPANY",JULY,94300.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",MAY,85363.5
"COASTAL COMMUNITY BANK",APRIL,78400.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",AUGUST,76962.0
"LIVE OAK BANKING COMPANY",APRIL,61371.4285714286
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",JUNE,56121.5
"FIRST CHOICE BANK",MAY,50992.5
"RADIUS BANK",AUGUST,44063.875
"BANK OF ALMA",APRIL,42168.42
"FIRST GENERAL BANK",APRIL,36200.0
"COLUMBIA STATE BANK",APRIL,35507.0
"ALPINE BANK",APRIL,35000.0
"CU HAWAII FCU",APRIL,33670.4355102041
"EAST WEST BANK",APRIL,32525.0
"IDAHO FIRST BANK",APRIL,31447.5233333333
"NAVY FCU",JUNE,31055.5555555556
"BANK OF HAWAII",AUGUST,30556.0
"COMERICA BANK",APRIL,29893.2
"SMALL BUSINESS BANK",MAY,27950.0
"T BANK, NATIONAL ASSOCIATION",APRIL,26944.6666666667
"BANK OF HAWAII",APRIL,26816.3565125774
"HARVEST SMALL BUSINESS FINANCE, LLC",APRIL,25585.0
"MEGA BANK",JUNE,25577.8
"WELLS FARGO BANK, NATIONAL ASSOCIATION",JULY,25503.5
"FARMERS & MERCHANTS BANK OF LONG BEACH",APRIL,25464.5
"ZIONS BANK, A DIVISION OF",MAY,25205.4
"HARVEST SMALL BUSINESS FINANCE, LLC",MAY,25000.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",JULY,23787.7333333333
"TRUSTMARK NATIONAL BANK",APRIL,23697.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",AUGUST,23289.0
"UNITED METHODIST FCU",MAY,23152.5
"AMERICAN LENDING CENTER",JUNE,22708.75
"BANNER BANK",AUGUST,21900.0
"BANK OF HAWAII",JUNE,21812.7629949239
"NAVY FCU",APRIL,21812.5
"CDC SMALL BUSINESS FINANCE CORPORATION",JUNE,21582.5
"UNITED METHODIST FCU",JULY,21505.0
"BANK OF GUAM",APRIL,20833.33
"IDAHO FIRST BANK",MAY,20833.32
"NEWTON FEDERAL BANK",MAY,20833.32
"SUMMIT BANK",APRIL,20833.32
"KAUA'I GOVERNMENT EMPLOYEES' FCU",JULY,20833.0
"LAKE ELMO BANK",APRIL,20833.0
